ProductCode,Price,Maker,Name,Description,Height,Width,Depth,Materials,Technique,Signed,Firing Technique,Decoration
SM194Y197,45.0,Sarah Monk,Tooth Brush Holder white,This earthenware tooth brush holder is thrown and pinched with cobalt splatters and sgraffito scribbles. It is glazed all over with a transparent glaze.,13.0,9.0,,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y196,89.0,Sarah Monk,teal butter dish,This earthenware butter dish is hand-built with a brush applied slip decoration featuring sgraffito daisies and green splatters. It is glazed all over with a transparent glaze.,14.0,17.0,13.0,Earthenware,"Hand Built, Slab Built",Signed,,Slip Decoration
SM194Y195,65.0,Sarah Monk,brushed teal planter and tray,This earthenware planter and tray has a brush applied slip decoration featuring sgraffito daisies. It is glazed all over with a transparent glaze.,12.0,15.0,11.0,Earthenware,Slab Built,Signed,,Slip Decoration
SM194Y194,40.0,Sarah Monk,green bowl,This earthenware bowl is thrown and pinched with a brush applied slip decoration featuring with sgraffito daisies and dark green splatters. It is glazed all over with a transparent glaze.,7.5,14.0,13.5,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y190,45.0,Sarah Monk,teal juicer,This earthenware juicer is thrown and pinched with a brush applied slip decoration featuring a splatter design. It is glazed all over with a transparent glaze.,5.5,13.5,13.0,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y189,24.0,Sarah Monk,teal coffee cup with sgraffito daisies and cobalt splatters,This earthenware cup is thrown and pinched with a brush applied slip decoration featuring a sgraffito design. It is glazed all over with a transparent glaze.,6.0,11.5,8.0,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y188,24.0,Sarah Monk,teal egg cup with sgraffito daisies,This earthenware egg cup is thrown and pinched with a brush applied slip decoration featuring a sgraffito design. It is glazed all over with a transparent glaze.,6.5,5.0,,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y185,40.0,Sarah Monk,brown dotty bowl,This earthenware bowl is thrown and pinched with a brush applied slip decoration featuring a brown dot design. It is glazed all over with a transparent glaze.,7.5,13.0,,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
99Y71,464.0,Owen Thorpe,plate,This stoneware plate is ornately decorated with skilled floral design and brushwork. It comes complete with a hanging wire ready to hang on your wall.,3.5,27.5,,Stoneware,Thrown,Signed,,
SM194Y183,65.0,Sarah Monk,brushed brown planter and tray with sgraffito daisies,This earthenware planter and tray has a brush applied slip decoration featuring sgraffito daisies. It is glazed all over with a transparent glaze.,11.5,15.0,11.0,Earthenware,Slab Built,Signed,,Slip Decoration
SM194Y182,40.0,Sarah Monk,pie crust toffee brown side plate,This earthenware side plate is press moulded and thrown with a brush applied slip decoration featuring dark brown dots. It is glazed all over with a transparent glaze.,3.5,19.5,,Earthenware,"Thrown, Press Mould",Signed,,Slip Decoration
SM194Y181,28.0,Sarah Monk,brushed brown dotty coffee cup,This earthenware small coffee cup is thrown and pinched with a brush applied slip decoration featuring dark brown dots. It is glazed all over with a transparent glaze.,6.5,11.5,8.5,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y180,28.0,Sarah Monk,brushed brown dotty coffee cup,This earthenware small coffee cup is thrown and pinched with a brush applied slip decoration featuring dark brown dots. It is glazed all over with a transparent glaze.,6.5,11.5,8.0,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y179,45.0,Sarah Monk,brushed brown dotty juicer,This earthenware juicer is thrown and pinched with a brush applied slip decoration featuring a brown dot design. It is glazed all over with a transparent glaze.,6.0,13.5,12.5,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SM194Y177,24.0,Sarah Monk,brushed brown dotty egg cup,This earthenware egg cup is thrown and pinched with a brush applied slip decoration featuring a brown dot design. It is glazed all over with a transparent glaze.,6.5,5.0,,Earthenware,"Hand Built, Thrown",Signed,,Slip Decoration
SW208Y241,488.0,Sarah Walton,bostal bottom II,"This brickclay sculpture is primarily inspired by the landscape that Sarah experiences around her. The burnished form is smooth and tactile and possesses a quality not dissimilar to that of the human body, another of her main inspirations.",15.0,23.5,21.5,Stoneware,Hand Built,,Electric,
SW208Y240,207.0,Sarah Walton,field II,"This brickclay sculpture is primarily inspired by the landscape that Sarah experiences around her. The burnished form is smooth and tactile and possesses a quality not dissimilar to that of the human body, another of her main inspirations.",7.0,23.5,18.5,Stoneware,Hand Built,,Electric,
SW208Y239,488.0,Sarah Walton,‘Mountain Pass’,"This stoneware sculpture is primarily inspired by the landscape that Sarah experiences around her. The burnished form is smooth and tactile and possesses a quality not dissimilar to that of the human body, another of her main inspirations.",10.5,22.5,22.0,Stoneware,Hand Built,,Electric,
SW208Y238,305.0,Sarah Walton,"‘The Punter Pub, Cambridge’",This stoneware sculpture is inspired by the local pub.,12.5,16.5,13.5,Stoneware,Hand Built,,Electric,
JC119Y2577,43.0,Jane Cox,large Mug Aquitaine Turquoise Plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,11.0,13.5,10.0,Earthenware,Slipcast,Signed,,
JC119Y2594,22.0,Jane Cox,Medium Mug Loire Green Plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,10.0,11.0,8.5,Earthenware,Slipcast,Signed,,
JC119Y2593,43.0,Jane Cox,large Mug Loire Green Plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,10.5,13.5,10.0,Earthenware,Slipcast,Signed,,
JC119Y2590,34.0,Jane Cox,medium Mug Loire Green,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,10.0,11.0,8.5,Earthenware,Slipcast,Signed,,
JC119Y2586,46.0,Jane Cox,Large Mug Loire Green,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,11.0,13.5,10.0,Earthenware,Slipcast,Signed,,
JC119Y2584,59.0,Jane Cox,Large Cereal Bowl Loire Green,The design of this earthenware bowl is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,8.0,17.5,,Earthenware,Slipcast,Signed,,
JC119Y2582,46.0,Jane Cox,small Cereal Bowl Loire Green,The design of this earthenware bowl is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,7.0,15.0,,Earthenware,Slipcast,Signed,,
JC119Y2581,83.0,Jane Cox,small jug Loire Green,The design of this earthenware jug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,14.0,15.0,9.5,Earthenware,Slipcast,Signed,,
JC119Y2579,22.0,Jane Cox,Medium Mug Aquitaine Turquoise Plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,10.0,11.0,8.5,Earthenware,Slipcast,Signed,,
JC119Y2576,43.0,Jane Cox,large Mug Aquitaine Turquoise Plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,11.0,13.5,10.0,Earthenware,Slipcast,Signed,,
JC119Y2574,34.0,Jane Cox,medium Mug Aquitaine Turquoise,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,10.0,11.0,8.5,Earthenware,Slipcast,Signed,,
JC119Y2572,34.0,Jane Cox,medium Mug Aquitaine Turquoise,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,10.0,11.0,8.5,Earthenware,Slipcast,Signed,,
JC119Y2570,46.0,Jane Cox,Large Mug Aquitaine Turquoise,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,11.0,13.5,10.0,Earthenware,Slipcast,Signed,,
JC119Y2567,59.0,Jane Cox,Large cereal bowl Aquitaine Turquoise,The design of this earthenware bowl is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,8.0,17.5,,Earthenware,Slipcast,Signed,,
JC119Y2509,55.0,Jane Cox,large cereal bowl aquitaine turquoise plain,The design of this earthenware mug is inspired by Jane’s time living in France and the colours and patterns she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,8.0,17.0,,Earthenware,Slipcast,Signed,,
JC119Y2507,146.0,Jane Cox,Medium bowl Aquitaine Turquoise Plain,The design of this earthenware bowl is inspired by Jane’s time living in France and the colours she encountered there. The textured tone of the glaze evokes the dynamism of nature in motion.,12.5,22.5,,Earthenware,Slipcast,Signed,,
JC119Y2615,43.0,Jane Cox,cone mug kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,7.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2614,43.0,Jane Cox,cone mug kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,7.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2612,46.0,Jane Cox,large mug kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,10.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2611,46.0,Jane Cox,large mug kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,10.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2609,83.0,Jane Cox,small vase kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,20.0,8.0,,Earthenware,Thrown,Signed,,
JC119Y2608,159.0,Jane Cox,medium vase kufic,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The surface patterns echo the sweeps and curves of the ceramic shapes underneath.,27.0,11.5,,Earthenware,Thrown,Signed,,
JC119Y2607,293.0,Jane Cox,medium deep bowl haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,13.0,31.5,,Earthenware,Thrown,Signed,,
JC119Y2603,46.0,Jane Cox,large mug haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,10.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2602,46.0,Jane Cox,large mug haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,10.5,13.5,10.0,Earthenware,Thrown,Signed,,
JC119Y2600,83.0,Jane Cox,small jug haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,14.5,15.0,9.5,Earthenware,Thrown,Signed,,
JC119Y2597,159.0,Jane Cox,medium vase haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,27.0,11.5,,Earthenware,Thrown,Signed,,
JC119Y2598,83.0,Jane Cox,small vase haj,A commission by the British Library based on an exhibition on World Sacred Texts led to two new surface designs – ‘Haj’ and ‘Kufic’. The design is inspired by the calligraphy of an ancient Quran Haj text. The bold surface patterns echo the sweeps and curves of the ceramic shapes underneath.,20.0,8.0,,Earthenware,Thrown,Signed,,
JC119Y2566,83.0,Jane Cox,small jug Aquitaine Turquoise,The design of this earthenware vase is inspired by Jane’s time living in France and the colours and patterns she encountered there. The energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,14.0,15.0,9.5,Earthenware,Thrown,Signed,,
GC113Y869,195.0,Gilles Le Corre,black cut bowl large,"This stoneware bowl is wheel-thrown with a boldly cut exterior, and is enveloped in a black semi-matt glaze.",11.0,21.5,,Stoneware,Thrown,Signed,,
GC113Y840,100.0,Gilles Le Corre,cylinder vessel,Cylindrical vessel freely thrown using a stoneware clay containing natural impurities giving a dramatic and random pattern to the surface.,9.0,14.5,,Stoneware,Thrown,Signed,,
GC113Y838,100.0,Gilles Le Corre,speckled ribbed bowl,"This stoneware bowl is wheel-thrown with a carved exterior, and features iron inclusions within the clay body which break through the surface of the pink tinged glaze.",9.5,14.5,,Stoneware,Thrown,Signed,,
GC113Y865,98.0,Gilles Le Corre,small cylinder vessel,Small cylindrical vessel freely thrown using a stoneware clay containing natural impurities giving a dramatic and random pattern to the surface.,14.0,13.5,,Stoneware,Thrown,Signed,,
GC113Y866,110.0,Gilles Le Corre,black cut bowl,"This stoneware bowl is wheel-thrown with a boldly cut exterior, and is enveloped in a black semi-matt glaze.",11.0,12.5,,Stoneware,Thrown,Signed,,
GC113Y861,46.0,Gilles Le Corre,cup,This stoneware cup is thrown with fluid throwing rings and enveloped in a black glaze.,7.5,8.0,,Stoneware,Thrown,Signed,,
GC113Y877,49.0,Gilles Le Corre,Cut bowl,This stoneware bowl is wheel-thrown with a boldly cut exterior and enveloped in a buttery glaze.,8.5,10.0,,Stoneware,Thrown,Signed,,
GC113Y868,98.0,Gilles Le Corre,Cut bowl,"This stoneware bowl is wheel-thrown in a heavily grogged clay. It has a boldly cut exterior and enveloped in a semi-matt glaze. The iron within the clay body breaks through the surface, adding depth and drama.",10.0,11.0,,Stoneware,Thrown,Signed,,
GC113Y875,49.0,Gilles Le Corre,Cut tea bowl small,This stoneware tea bowl is wheel-thrown in a heavily grogged clay. It has a boldly cut exterior and is enveloped in a black semi-matt glaze.,8.0,10.0,,Stoneware,Thrown,Signed,,
V69Y130,2250.0,Tina Vlassopulos,double toot,This sinuous earthenware sculpture is hand-built and finished by meticulous burnishing which creates a soft sheen accentuating the form.,52.5,12.0,,Earthenware,Hand Built,Signed,,
V69Y139,360.0,Tina Vlassopulos,tootle III,"This sinuous sculpture is hand-built in an earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form.",19.5,10.5,9.0,Earthenware,Hand Built,Signed,,
V69Y138,380.0,Tina Vlassopulos,tootle II,"This sinuous sculpture is hand-built in an earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form.",22.5,10.0,,Earthenware,Hand Built,Signed,,
V69Y137,380.0,Tina Vlassopulos,tootle VII,"This sinuous sculpture is hand-built in an earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form. The ring is .",18.5,16.0,,Earthenware,Hand Built,Signed,,
V69Y136,500.0,Tina Vlassopulos,turquoise ring,"This sinuous sculpture is hand-built in a pale blue stained earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form. The ring is skilfully fashioned so that it can move freely along the ‘handle’ of the form .",24.5,12.5,,Earthenware,Hand Built,Signed,,
V69Y135,650.0,Tina Vlassopulos,unfurl,"This sinuous sculpture is hand-built in an earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form.",29.0,9.5,,Earthenware,Hand Built,Signed,,
V69Y134,700.0,Tina Vlassopulos,curl,"This sinuous sculpture is hand-built in an earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form.",25.0,11.5,,Earthenware,Hand Built,Signed,,
V69Y133,1000.0,Tina Vlassopulos,song,"This sinuous sculpture is hand-built in a pale blue stained earthenware clay body, and finished by meticulous burnishing which creates a soft sheen accentuating the form.",40.5,11.0,,Earthenware,Hand Built,Signed,,
V69Y132,1200.0,Tina Vlassopulos,duet,This sinuous earthenware sculpture is hand-built and finished by meticulous burnishing which creates a soft sheen accentuating the form.,35.0,14.5,11.5,Earthenware,Hand Built,Signed,,
V69Y131,1500.0,Tina Vlassopulos,ring,This sinuous earthenware sculpture is hand-built and finished by meticulous burnishing which creates a soft sheen accentuating the form. The coiled ring is detachable.,37.0,13.0,,Earthenware,Hand Built,Signed,,
FT265Y104,250.0,Fiona Thompson,contained flora bowl,"Hand-built stoneware bowl form, with multiple layered surfaces. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",10.5,21.5,,Stoneware,Hand Built,Signed,,Slip Decoration
FT265Y103,110.0,Fiona Thompson,contained flora dish,"Hand-built stoneware dish, with multi layered surface. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",6.0,16.0,13.0,Stoneware,Hand Built,Signed,,Slip Decoration
FT265Y102,295.0,Fiona Thompson,contained flora bottle,"Hand-built stoneware bottle, with multi layered surface. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",31.0,13.5,11.5,Stoneware,Hand Built,Signed,,Slip Decoration
FT265Y101,60.0,Fiona Thompson,contained flora dish,"Hand-built stoneware dish, with multi layered surface. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",5.5,10.0,,Stoneware,Hand Built,Signed,,Slip Decoration
FT265Y100,68.0,Fiona Thompson,contained flora dish,"Hand-built stoneware dish, with multi layered surface. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",5.0,15.0,12.5,Stoneware,Hand Built,Signed,,Slip Decoration
FT265Y99,50.0,Fiona Thompson,contained flora bowl small,"Hand-built stoneware bowl form, with multiple layered surfaces. Layers are built up using incised lines, lino-prints or mono-printed imagery and painted with coloured slips.",6.5,8.0,,Stoneware,Hand Built,Signed,,Slip Decoration
