productcode,decoration,depth,description,firing,height,maker,materials,name,price,technique,width
JW392Y367,Slip decoration,29.5,this delightful earthenware dish is painted with a slip-decorated apple motif.,Electric,8.0,Josie Walter,Earthenware,large oval pie dish apple,78.0,Thrown,32.5
JW392Y356,Slip decoration,13.6,this delightful earthenware bowl is painted with a slip-decorated blackberries motif.,Electric,9.0,Josie Walter,Earthenware,bowl blackberries,39.0,Thrown,21.0
JW392Y357,Slip decoration,13.6,this delightful earthenware bowl is painted with a slip-decorated oak leaf motif.,Electric,9.0,Josie Walter,Earthenware,bowl oak leaf,39.0,Thrown,21.0
JW392Y243,Slip decoration,13.6,this delightful earthenware bowl is painted with a slip-decorated fish motif.,Electric,9.0,Josie Walter,Earthenware,bowl fish,39.0,Thrown,21.0
JW392Y290,Slip decoration,13.6,this delightful earthenware bowl is painted with a slip-decorated blue fruit motif.,Electric,9.0,Josie Walter,Earthenware,bowl blue fruit,39.0,Thrown,21.0
JW392Y244,Slip decoration,13.6,this delightful earthenware bowl is painted with a slip-decorated green fruit motif.,Electric,9.0,Josie Walter,Earthenware,bowl green fruit,39.0,Thrown,21.0
JC119YZ,Glaze,19.9,the design of this earthenware bowl is inspired by jane’s time living in france and the colours and patterns she encountered there. the energetic brushwork combined with the textured tones of the glaze evokes the rhythms and dynamism of nature in motion.,Electric,16.0,Jane Cox,Earthenware,Large bowl Aquitaine Turquoise Plain,220.0,Hand built,36.0
KB123Y1047,Glaze,8.7,this bowl is wheel-thrown in speckled stoneware clay. it is faceted and decorated with a pale slip and glaze.,Gas,6.5,Karen Bunting,Stoneware,tea bowl pale faceted,50.0,Thrown,9.5
KB123Y1035,Glaze,8.1,this stoneware vase is wheel-thrown then faceted. it is glazed with a semi-matt pale glaze and reduction fired.,Gas,12.0,Karen Bunting,Stoneware,pale faceted vase,65.0,Thrown,8.0
KB123Y1036,Glaze,7.9,"this stoneware vase is wheel-thrown then faceted. it is decorated with a metallic oxide slip and glaze, then reduction fired.",Gas,12.0,Karen Bunting,Stoneware,indigo faceted conical vase,75.0,Thrown,7.5
KB123Y1058,Glaze,-0.5,this plate is hand-built in stoneware clay. it has an incised decoration with a pale slip and glaze.,Gas,3.0,Karen Bunting,Stoneware,irregular plate,78.0,Hand built,19.0
KB123Y1015,Glaze,11.9,this wheel-bowl is thrown in stoneware clay. it is fluted and decorated with a pale glaze.,Gas,13.0,Karen Bunting,Stoneware,pale fluted bowl,175.0,Thrown,17.0
KB123Y1042,Glaze,8.9,this bowl is wheel-thrown in speckled stoneware clay. it is faceted and decorated with metallic oxide slips and glazes.,Gas,8.5,Karen Bunting,Stoneware,tea bowl indigo faceted,55.0,Thrown,10.0
KB123Y1045,Glaze,8.3,this bowl is wheel-thrown in speckled stoneware clay. it is fluted and decorated with metallic oxide slips and glazes.,Gas,8.0,Karen Bunting,Stoneware,tea bowl indigo fluted,50.0,Thrown,8.5
G173Y297,Sgraffito,18.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,15.0,Carolyn Genders,Earthenware,touch of sunshine II,549.0,Hand built,20.0
G173Y296,Sgraffito,15.5,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,15.5,Carolyn Genders,Earthenware,touch of sunshine I,549.0,Hand built,20.0
G173Y295,Sgraffito,29.5,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of coloured matt vitreous slips and burnished terra sigillata.",Electric,9.5,Carolyn Genders,Earthenware,speckled violet rocking bowl,610.0,Hand built,29.5
G173Y294,Sgraffito,25.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of coloured matt vitreous slips and burnished terra sigillata.",Electric,29.5,Carolyn Genders,Earthenware,winter skies vessel,1586.0,Hand built,27.0
G173Y293,Sgraffito,29.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of coloured matt vitreous slips and burnished terra sigillata.",Electric,12.5,Carolyn Genders,Earthenware,indigo sea rocking bowl,976.0,Hand built,33.5
G173Y292,Sgraffito,18.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,24.0,Carolyn Genders,Earthenware,autumnal glow III,1098.0,Hand built,28.0
G173Y291,Sgraffito,26.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,32.0,Carolyn Genders,Earthenware,fauve explosion vessel,1708.0,Hand built,27.0
G173Y290,Sgraffito,16.5,"this hollow sculpture is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,10.5,Carolyn Genders,Earthenware,red square abstraction II,268.0,Hand built,17.0
G173Y289,Sgraffito,15.0,"this hollow sculpture is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,11.0,Carolyn Genders,Earthenware,red square abstraction I,268.0,Hand built,16.0
G173Y288,Sgraffito,13.0,"this sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of coloured matt vitreous slips and burnished terra sigillata.",Electric,14.5,Carolyn Genders,Earthenware,red square abstraction vessel,488.0,Hand built,23.0
G173Y287,Sgraffito,28.0,"this joyfully coloured sculptural vessel is hand-built in white earthenware clay. the abstract and detailed surface is achieved through inscribed marks, incising and scarifying through layers of brightly coloured matt vitreous slips and burnished terra sigillata.",Electric,22.5,Carolyn Genders,Earthenware,mellow yellow,1464.0,Hand built,33.0
B490Y131,Glaze,20.0,"this stoneware vessel form references west wales. it is hand-built and glazed on the inside, with dry glazes, engobes and local clays brushed on the outside.",Electric,32.5,Peter Bodenham,Stoneware,vessel,360.0,Hand built,27.0
JK375Y209,Glaze,3.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,14.5,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,6.0
JK375Y208,Glaze,3.0,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,14.5,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,6.0
JK375Y207,Glaze,3.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,15.0,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,6.0
JK375Y206,Glaze,4.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,14.0,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,7.0
JK375Y205,Glaze,4.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,14.0,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,7.5
JK375Y204,Glaze,4.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,14.0,John Kershaw,Stoneware,flattened vase with colour small,49.0,Hand built,7.0
JK375Y203,Glaze,5.5,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,19.5,John Kershaw,Stoneware,flattened vase with colour,59.0,Hand built,8.0
JK375Y202,Glaze,6.0,"this stoneware vase is hand-built with a sandy textured surface, splashes of vibrant colour, and a deep turquoise interior.",Electric,20.5,John Kershaw,Stoneware,flattened vase with colour,59.0,Hand built,9.0
JK375Y201,Glaze,3.5,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,14.5,John Kershaw,Stoneware,flattened vase small,44.0,Hand built,6.0
JK375Y200,Glaze,3.5,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,14.5,John Kershaw,Stoneware,flattened vase small,44.0,Hand built,6.0
JK375Y199,Glaze,3.0,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,15.0,John Kershaw,Stoneware,flattened vase small,44.0,Hand built,6.5
JK375Y198,Glaze,4.0,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,14.5,John Kershaw,Stoneware,flattened vase small,44.0,Hand built,6.0
JK375Y197,Glaze,5.0,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,20.0,John Kershaw,Stoneware,flattened vase,54.0,Hand built,7.0
JK375Y196,Glaze,6.0,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,20.0,John Kershaw,Stoneware,flattened vase,54.0,Hand built,8.0
JK375Y195,Glaze,5.5,this stoneware vase is hand-built. elements of john’s inspiration by ancient greek pottery can be detected in the sandy textured surface and the deep turquoise interior.,Electric,20.0,John Kershaw,Stoneware,flattened vase,54.0,Hand built,9.0
JK375Y194,Glaze,11.0,"this stoneware jug is wheel-thrown. elements of john’s inspiration by ancient greek pottery can be detected such as in the double coil handle in a rich mediterranean blue and the sandy, textured surface.",Electric,17.5,John Kershaw,Stoneware,Jug round,78.0,Thrown,13.5
JK375Y193,Glaze,10.5,"this stoneware jug is wheel-thrown. elements of john’s inspiration by ancient greek pottery can be detected such as in the double coil handle in a rich mediterranean blue and the sandy, textured surface.",Electric,19.0,John Kershaw,Stoneware,Jug round,78.0,Thrown,14.0
JK375Y192,Glaze,9.0,"this stoneware jug is wheel-thrown. elements of john’s inspiration by ancient greek pottery can be detected such as in the double coil handle in a rich mediterranean blue and the sandy, textured surface.",Electric,14.0,John Kershaw,Stoneware,Jug small round,54.0,Thrown,10.5
JK375Y191,Glaze,8.5,"this stoneware jug is wheel-thrown. elements of john’s inspiration by ancient greek pottery can be detected such as in the double coil handle in a rich mediterranean blue and the sandy, textured surface.",Electric,15.0,John Kershaw,Stoneware,Jug small round,54.0,Thrown,10.0
JK375Y190,Glaze,8.5,"this stoneware jug is wheel-thrown. elements of john’s inspiration by ancient greek pottery can be detected such as in the double coil handle in a rich mediterranean blue and the sandy, textured surface.",Electric,15.5,John Kershaw,Stoneware,Jug small round,54.0,Thrown,11.5
JD91Y778,Glaze,8.9,"this beaker is wheel-thrown and altered with a bold simplicity of form, using one clay (porcelain), one colouring mineral and one single firing technique to create complex and distinctive surface colours and texture. jack combines contemporary design with traditional processes and materials.",Electric,9.0,Jack Doherty,Porcelain,Porcelain Beaker,134.0,Thrown,10.0
JD91Y784,Glaze,9.3,"this vase is wheel-thrown and altered with a bold simplicity of form, using one clay (porcelain), one colouring mineral and one single firing technique to create complex and distinctive surface colours and texture. jack combines contemporary design with traditional processes and materials.",Electric,36.0,Jack Doherty,Porcelain,Tall Vase,793.0,Thrown,11.0
JD91Y783,Glaze,10.6,"this vase is wheel-thrown and altered with a bold simplicity of form, using one clay (porcelain), one colouring mineral and one single firing technique to create complex and distinctive surface colours and texture. jack combines contemporary design with traditional processes and materials.",Electric,39.0,Jack Doherty,Porcelain,Tall Vase,915.0,Thrown,14.0
AP484Y18,Glaze,6.5,"this stoneware vessel is hand-built, the coloured and textured surface achieved by the abstract and gestural application of slips, glazes, organic and inorganic materials. adela’s work is inspired by the weathering and erosion seen in coastal and river environments.",Electric,26.0,Adela Powell,Stoneware,can form – tall brown with coastal mud,350.0,Hand built,13.0
AP484Y17,Glaze,7.0,"this stoneware vessel is hand-built, the coloured and textured surface achieved by the abstract and gestural application of slips, glazes, organic and inorganic materials. adela’s work is inspired by the weathering and erosion seen in coastal and river environments.",Electric,19.0,Adela Powell,Stoneware,can form – green brown coastal mud and porcelain,325.0,Hand built,16.0
AP484Y16,Glaze,6.5,"this stoneware vessel is hand-built, the coloured and textured surface achieved by the abstract and gestural application of slips, glazes, organic and inorganic materials. adela’s work is inspired by the weathering and erosion seen in coastal and river environments.",Electric,23.5,Adela Powell,Stoneware,can form – green brown with coastal mud,345.0,Hand built,12.5
JS314Y161,Slip decoration,12.0,"this animated earthenware cat is hand-built and captures the charm, humour, and character of the cat.",Electric,27.0,Jenny Southam,Earthenware,rusty scratchy cat,758.0,Hand built,30.0
JS314Y165,Slip decoration,9.0,this animated earthenware cat is hand-built and captures the charm and character of the cat.,Electric,15.0,Jenny Southam,Earthenware,orange feather cat,488.0,Hand built,26.0
JS314Y133,Slip decoration,15.0,this animated gold lustred cat captures the charm and humour of the character of the cat.,Electric,29.0,Jenny Southam,Earthenware,cat scratching tree,488.0,Hand built,28.0
JS314Y125,Slip decoration,7.0,"this diminutive earthenware sculpture is hand-built, the positioning of the towers imbues the jaunty group with character and charm.",Electric,8.0,Jenny Southam,Earthenware,towers,122.0,Hand built,19.0
JS314Y126,Slip decoration,9.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, imbuing an inanimate object with character and charm.",Electric,8.0,Jenny Southam,Earthenware,sixteen windows,107.0,Hand built,12.0
JS314Y129,Slip decoration,9.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, the placement of the tree imbues an inanimate object with character and charm.",Electric,10.0,Jenny Southam,Earthenware,high rise,85.0,Hand built,11.5
JS314Y140,Slip decoration,9.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, creating a narrative with character and charm.",Electric,7.0,Jenny Southam,Earthenware,dark house,171.0,Hand built,11.0
JS314Y141,Slip decoration,6.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, the placement of the tree imbues an inanimate object with character and charm.",Electric,12.5,Jenny Southam,Earthenware,tower,122.0,Hand built,9.5
JS314Y168,Slip decoration,6.0,"a small individual sculptural piece of a man offering a bowl of cherries, handbuilt and decorated with highly absorbing painterly detail.",Electric,11.5,Jenny Southam,Earthenware,small man offering a bowl of cherries,159.0,Hand built,6.0
JS314Y192,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,7.5,Jenny Southam,Earthenware,little bee,67.0,Hand built,3.0
JS314Y191,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,7.5,Jenny Southam,Earthenware,little bee,67.0,Hand built,3.0
JS314Y193,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,8.0,Jenny Southam,Earthenware,little bee,67.0,Hand built,3.0
JS314Y190,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,8.0,Jenny Southam,Earthenware,little bee,67.0,Hand built,3.0
JS314Y106,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,9.5,Jenny Southam,Earthenware,little tree,49.0,Hand built,3.0
JS314Y188,Slip decoration,3.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,8.5,Jenny Southam,Earthenware,little tree,49.0,Hand built,3.5
JS314Y155,Slip decoration,3.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,9.5,Jenny Southam,Earthenware,little tree,49.0,Hand built,3.5
JS314Y185,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,9.0,Jenny Southam,Earthenware,little tree,49.0,Hand built,3.0
JS314Y103,Slip decoration,3.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,4.5,Jenny Southam,Earthenware,little bird,67.0,Hand built,6.0
JS314Y147,Slip decoration,3.5,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,5.0,Jenny Southam,Earthenware,little bird,67.0,Hand built,8.5
JS314Y144,Slip decoration,3.0,"this diminutive earthenware sculpture is hand-built, with colourful slip decoration, full of character and charm.",Electric,6.0,Jenny Southam,Earthenware,little bird,67.0,Hand built,6.0
BBH76Y127,Glaze,16.0,this stoneware sculpture is hand-built and inspired by the natural forms and textures found in the land and seascape around snowdonia near where bev lives.,Electric,26.5,Bev Bell-Hughes,Stoneware,rib pocket,488.0,Hand built,18.0
BBH76Y130,Glaze,21.0,this stoneware sculpture is hand-built and inspired by the natural forms and textures found in the land and seascape around snowdonia near where bev lives.,Electric,15.0,Bev Bell-Hughes,Stoneware,sand pocket,305.0,Hand built,23.0
BBH76Y129,Glaze,24.0,this stoneware sculpture is hand-built and inspired by the natural forms and textures found in the land and seascape around snowdonia near where bev lives.,Electric,16.0,Bev Bell-Hughes,Stoneware,sand pocket,320.0,Hand built,23.0
BBH76Y128,Glaze,15.0,this stoneware sculpture is hand-built and inspired by the natural forms and textures found in the land and seascape around snowdonia near where bev lives.,Electric,25.0,Bev Bell-Hughes,Stoneware,rib pocket,488.0,Hand built,19.0
HT473Y36,Glaze,15.0,"tree of life owl is a hand-built sculpture inspired by hiro’s fantastical imagination and her love of nature. the crown of this tree is decorated with oxides and green glaze and pierced with perforations allowing light to filter through, the textured trunk is decorated with oxides.",Electric,16.0,Hiro Takahashi,Stoneware,tree of life owl,293.0,Hand built,16.0
HT473Y59,Glaze,9.5,"playful light is a hand-built sculpture of a tree. it is inspired by hiro’s fantastical imagination and her love of nature. the green glazed crown of this tree is imprinted with leaf textures and pierced with leaf-shaped perforations allowing light to filter through, the trunk and base are decorated with oxides.",Electric,15.0,Hiro Takahashi,Stoneware,Playful Light,239.0,Hand built,10.0
HT473Y60,Glaze,13.0,"playful light is a hand-built sculpture of a tree on a wooden plinth. it is inspired by hiro’s fantastical imagination and her love of nature. the blue glazed crown of this tree is pierced with leaf-shaped perforations allowing light to filter through, the trunk covered with creeping vines is decorated with oxides.",Electric,26.0,Hiro Takahashi,Stoneware,Playful Light,239.0,Hand built,14.0
HT473Y61,Glaze,11.5,"playful light is a hand-built sculpture of a tree on a wooden plinth. it is inspired by hiro’s fantastical imagination and her love of nature. the green glazed crown of this tree is pierced with leaf-shaped perforations allowing light to filter through, the trunk covered with creeping vines is decorated with oxides.",Electric,21.0,Hiro Takahashi,Stoneware,Playful Light,239.0,Hand built,12.0
HT473Y55,Glaze,11.0,"allegorical boat is inspired by hiro’s fantastical imagination and her love of nature. this hand-built sculpture has intricate additions depicting leaves, organic matter, woodland undergrowth, is decorated with oxides and glazes, and underwent multiple firings.",Electric,17.0,Hiro Takahashi,Stoneware,Allegorical Boat,439.0,Hand built,22.0
HT473Y69,Glaze,8.5,"allegorical boat is inspired by hiro’s fantastical imagination and her love of nature. this hand-built sculpture has intricate additions depicting leaves, organic matter, woodland undergrowth, is decorated with oxides and glazes, and underwent multiple firings.",Electric,23.0,Hiro Takahashi,Stoneware,Allegorical Boat,439.0,Hand built,28.0
HT473Y63,Glaze,16.0,"soul house is inspired by the old rural buildings from hiro’s childhood walks with her grandmother in japan. they are a manifestation of her sense of nostalgia for her childhood, loss of history in the name of modernisation, as well as her love of nature.",Electric,17.0,Hiro Takahashi,Stoneware,Soul House Minka,488.0,Hand built,20.0
HT473Y48,Glaze,14.0,"this bowl is hand-built with a design inspired by hiro’s love of nature and her imagination. it is decorated with sgraffito, oxide brushwork and glazes.",Electric,8.5,Hiro Takahashi,Stoneware,Wabi Sabi Bowl,98.0,Hand built,15.0
HT473Y52,Glaze,13.0,"this bowl is hand-built with a design inspired by hiro’s love of nature and her imagination. it is decorated with sgraffito, oxide brushwork and glazes.",Electric,8.0,Hiro Takahashi,Stoneware,Wabi Sabi Bowl,98.0,Hand built,13.5
HT473Y50,Glaze,12.0,"this bowl is hand-built with a design inspired by hiro’s love of nature and her imagination. it is decorated with sgraffito, oxide brushwork and glazes.",Electric,7.5,Hiro Takahashi,Stoneware,Wabi Sabi Bowl,98.0,Hand built,12.5
HT473Y53,Glaze,10.2,"this bowl is hand-built with a design inspired by hiro’s love of nature and her imagination. it is decorated with sgraffito, oxide brushwork and glazes.",Electric,6.0,Hiro Takahashi,Stoneware,Wabi Sabi Bowl,98.0,Hand built,13.0
HT473Y21,Glaze,10.5,"soul house is inspired by the old rural buildings from hiro’s childhood walks with her grandmother in japan. they are a manifestation of her sense of nostalgia for her childhood, loss of history in the name of modernisation, as well as her love of nature.",Electric,12.5,Hiro Takahashi,Stoneware,Soul House,183.0,Hand built,11.0
HT473Y64,Glaze,8.0,"soul house is inspired by the old rural buildings from hiro’s childhood walks with her grandmother in japan. they are a manifestation of her sense of nostalgia for her childhood, loss of history in the name of modernisation, as well as her love of nature.",Electric,12.0,Hiro Takahashi,Stoneware,Small Soul House,159.0,Hand built,9.0
HT473Y24,Glaze,5.0,this delightful raku message box has a surface design resembling a kimono pattern with an animal or bird on the lid with evoking the subtle sense of humour of netsuke.,Electric,12.0,Hiro Takahashi,Stoneware,Message Box,98.0,Hand built,5.0
HT473Y35,Glaze,6.5,this delightful raku message box has a surface design resembling a kimono pattern with an animal or bird on the lid with evoking the subtle sense of humour of netsuke.,Electric,10.0,Hiro Takahashi,Stoneware,Message Box,98.0,Hand built,9.5
HT473Y44,Glaze,7.4,this delightful raku message box has a surface design resembling a kimono pattern with an animal or bird on the lid with evoking the subtle sense of humour of netsuke.,Electric,12.5,Hiro Takahashi,Stoneware,Message Box,98.0,Hand built,6.5
193Y253,Terra Sigillata,11.5,many layers of fine terra-sigillata slip decorate this wheel-thrown bowl. abstract detailing and resist lines create a pictogram design while the interior of this piece presents a mottled effect.,Wood,16.0,Duncan Ross,Earthenware,Terra Sigillata Bowl Pictogram,1220.0,Thrown,16.0
193Y251,Terra Sigillata,10.0,many layers of fine terra-sigillata slip decorate this wheel-thrown footed bowl. featuring a resist technique design on the outside while the interior of this piece presents a mottled effect.,Wood,15.0,Duncan Ross,Earthenware,Terra Sigillata Footed Bowl,732.0,Thrown,12.5
SOB332Y243,Glaze,8.0,this delightful porcelain bird is full of character. susan captures its whimsical and curious pose partly through her modelling and partly through chance in the heat of the kiln. her creatures of imagination speak to our connection with nature and the stories they hold.,Electric,19.5,Susan O Byrne,Porcelain,green crested turaco,220.0,Hand built,34.0
MM105Y289,Glaze,4.5,this framed wall piece is hand-built in porcelain paper clay with dry-glazed textural surfaces and brushed decoration.,Electric,25.5,Marcio Mattos,Porcelain,Wall Piece,188.0,Hand built,25.5
MM105Y290,Glaze,4.5,this framed wall piece is hand-built in porcelain paper clay with dry-glazed textural surfaces and brushed decoration.,Electric,25.5,Marcio Mattos,Porcelain,Wall Piece,188.0,Hand built,25.5
GK175Y26,Glaze,16.0,"this sculptural vessel is hand-built in stoneware and porcelain clays. her inspiration derives from geological landscape and how different layers of sediment combine in rock formations, leading to the idea of combining quite opposite materials like stoneware clay and porcelain, while still celebrating the feel of unglazed clay.",Electric,50.5,Gabriele Koch,Porcelain,Textured Standing Form,2440.0,Hand built,18.0
